         3593875782 function calls (3006807937 primitive calls) in 19495.470 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14940    0.030    0.000   11.040    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1590(_get_tick)
     1134    0.047    0.000   10.864    0.010 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:586(add_subplot)
     1134    0.073    0.000   10.764    0.009 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:564(__init__)
 1764/630    0.007    0.000   10.744    0.017 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/_api/deprecation.py:446(wrapper)
      630    0.006    0.000   10.742    0.017 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:1734(get_tightbbox)
     1134    0.027    0.000   10.611    0.009 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:4391(get_tightbbox)
      630    0.033    0.000   10.611    0.017 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:2650(__init__)
      630   10.026    0.016   10.159    0.016 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:118(__init__)
    73262    0.355    0.000   10.008    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:915(get_window_extent)
     2752    0.016    0.000    9.492    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1975(draw)
      378    0.002    0.000    9.028    0.024 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:1548(subplots)
     1218    0.003    0.000    9.010    0.007 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:1383(clear)
     1218    0.054    0.000    9.007    0.007 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:1256(__clear)
      546    0.007    0.000    8.902    0.016 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/generic.py:4027(take)
      546    0.006    0.000    8.884    0.016 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/managers.py:869(take)
      546    0.009    0.000    8.715    0.016 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/managers.py:623(reindex_indexer)
       84    0.030    0.000    8.650    0.103 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/util/_decorators.py:325(wrapper)
   883344    1.093    0.000    8.633    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:422(tail_slice)
    15782    0.022    0.000    8.625    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/collections.py:1002(draw)
       84    0.080    0.001    8.619    0.103 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/generic.py:3797(to_csv)
     1470    0.004    0.000    8.598    0.006 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/array_algos/take.py:59(take_nd)
     1470    8.251    0.006    8.594    0.006 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
     1134    0.005    0.000    8.519    0.008 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/blocks.py:1287(take_nd)
5513592/3704988    5.349    0.000    8.491    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/_explanation.py:767(_compute_shape)
    16034    0.250    0.000    8.426    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/collections.py:349(draw)
    17556    0.025    0.000    8.350    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1641(get_major_ticks)
      378    0.026    0.000    8.337    0.022 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_axes.py:6701(hist)
      378    0.034    0.000    8.287    0.022 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:182(wrapper)
  9596748    6.764    0.000    8.261    0.000 {built-in method builtins.sum}
       84    0.071    0.001    8.184    0.097 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/formats/format.py:965(to_csv)
      462    0.084    0.000    8.171    0.018 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_axes.py:2325(bar)
     3624    0.025    0.000    8.127    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:4413(_get_path_in_displaycoord)
    10705    0.011    0.000    7.992    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:2654(gca)
    14940    0.313    0.000    7.935    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:65(__init__)
   883050    0.661    0.000    7.876    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:247(__init__)
     3624    0.022    0.000    7.848    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:2810(__call__)
     1008    0.012    0.000    7.785    0.008 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/frame.py:4062(__getitem__)
     7248    0.031    0.000    7.766    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:2790(_clip)
    10872    0.186    0.000    7.733    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:351(split_path_inout)
       84    0.033    0.000    7.659    0.091 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/formats/csvs.py:246(save)
    10332    0.010    0.000    7.655    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1346(_get_ticklabel_bboxes)
       42    0.013    0.000    7.529    0.179 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/plots/_bar.py:22(bar)
      168    0.007    0.000    7.475    0.044 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/generic.py:4142(_take_with_is_copy)
      168    0.084    0.000    7.436    0.044 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/managers.py:708(_slice_take_blocks_ax0)
    10332    0.044    0.000    7.392    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1350(<listcomp>)
       42    0.306    0.007    7.391    0.176 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/regression/random_forest_regression/random_forest_regression.py:285(load_model)
    51088    0.371    0.000    7.234    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:734(draw)
       42    0.037    0.001    7.085    0.169 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/joblib/numpy_pickle.py:604(load)
   191868    0.784    0.000    7.073    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:65(_get_text_metrics_with_cache)
       42    0.004    0.000    7.029    0.167 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/joblib/numpy_pickle.py:566(_unpickle)
       42    0.285    0.007    7.023    0.167 /opt/anaconda3/envs/tf-gpu/lib/python3.11/pickle.py:1187(load)
    16128    0.075    0.000    6.803    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:2378(add_patch)
       84    0.018    0.000    6.736    0.080 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/formats/csvs.py:272(_save)
       84    0.093    0.001    6.597    0.079 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/formats/csvs.py:305(_save_body)
  1387848    0.963    0.000    6.526    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:550(<listcomp>)
      168    3.882    0.023    6.500    0.039 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/formats/csvs.py:315(_save_chunk)
    10116    0.018    0.000    6.445    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:316(split_bezier_intersecting_with_closedpath)
    25506    0.285    0.000    6.374    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/path.py:607(get_extents)
442941/441051    1.240    0.000    6.351    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:1173(_update_props)
    10116    0.262    0.000    6.252    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:113(find_bezier_t_intersecting_with_closedpath)
1001584/821342    0.340    0.000    6.240    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/_api/deprecation.py:292(wrapper)
    12049    0.013    0.000    6.050    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:1075(gcf)
