         11159025653 function calls (10944996819 primitive calls) in 7676.283 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   988088    2.212    0.000  135.379    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:194(update)
  3878160   30.208    0.000  135.007    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:247(polynomial_coefficients)
 91489204   34.214    0.000  129.427    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/cbook.py:1390(_to_unmasked_float_array)
 14289130    9.128    0.000  127.555    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/path.py:502(contains_point)
  5233121   10.875    0.000  125.281    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/font_manager.py:1305(_find_fonts_by_props)
 28578344   63.997    0.000  123.397    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/shape_base.py:731(array_split)
 85631246  121.269    0.000  121.269    0.000 {method 'outer' of 'numpy.ufunc' objects}
   233272    2.001    0.000  118.644    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/multiclass.py:228(type_of_target)
  1941684    8.149    0.000  116.480    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:48(__init__)
    92116    0.177    0.000  116.126    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_classes.py:482(_validate_X_predict)
 10664940   15.311    0.000  115.949    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/path.py:413(iter_bezier)
31245654/27335386    7.038    0.000  107.935    0.000 {built-in method builtins.next}
   969540    2.934    0.000  105.874    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:509(set_bbox)
  1024196    1.401    0.000  103.170    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/_array_api.py:725(_asarray_with_order)
