         39365548 function calls (39331711 primitive calls) in 172.578 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20088    0.009    0.000    0.096    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/eager/context.py:2325(internal_operation_seed)
   141588    0.096    0.000    0.096    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/eager/context.py:1025(executing_eagerly)
    20088    0.010    0.000    0.085    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/eager/context.py:536(_internal_operation_seed)
    25380    0.038    0.000    0.080    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:194(is_compatible_with)
    20791    0.014    0.000    0.079    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/random.py:358(randint)
    23623    0.020    0.000    0.079    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/util/nest.py:198(flatten)
    30620    0.035    0.000    0.078    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:596(__tf_tensor__)
     1010    0.001    0.000    0.077    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/array_ops.py:994(strided_slice)
     1010    0.001    0.000    0.076    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/gen_array_ops.py:10788(strided_slice)
    70438    0.066    0.000    0.071    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:793(as_dtype)
     1476    0.062    0.000    0.067    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/random.py:480(choices)
      100    0.000    0.000    0.066    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:312(__bool__)
    20791    0.029    0.000    0.066    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/random.py:284(randrange)
      100    0.000    0.000    0.062    0.001 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:380(generate_student_semester)
