         123270638918 function calls (121949207503 primitive calls) in 58061.602 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 62034320  137.087    0.000  363.158    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/function_base.py:2374(_get_ufunc_and_otypes)
 36000000   35.686    0.000  360.461    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:54(literal_eval)
 62056725  112.334    0.000  352.534    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:436(set_transform)
 99304737   68.624    0.000  330.088    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/colors.py:275(to_rgba)
 18610296   17.195    0.000  312.113    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1564(_get_position_xy)
943751107  306.791    0.000  306.791    0.000 {method 'copy' of 'numpy.ndarray' objects}
 18610296  102.754    0.000  304.365    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:3265(<listcomp>)
 22174858   47.827    0.000  304.291    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/font_manager.py:1235(findfont)
310488205  126.835    0.000  303.000    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:317(get_patch_transform)
143708324  106.255    0.000  302.807    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
  6203432   13.811    0.000  296.744    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:4141(__init__)
 18610296   24.609    0.000  293.021    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1458(_get_xy)
136602752   54.495    0.000  292.711    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:415(pchanged)
136482158   41.673    0.000  285.854    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1793(convert_units)
 86848128  168.522    0.000  275.845    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/function_base.py:5563(append)
614926982/509371980  139.604    0.000  273.400    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:316(stale)
6203432/40   10.215    0.000  268.814    6.720 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_export.py:617(_make_tree)
 36000000    9.090    0.000  265.050    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:33(parse)
3678071231  263.766    0.000  263.766    0.000 {function Bunch.__getitem__ at 0x127c7ee80}
 18612576    6.381    0.000  258.724    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:394(set_facecolor)
  6203432   45.581    0.000  257.718    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_export.py:288(node_to_str)
2059842767  173.999    0.000  256.624    0.000 {built-in method builtins.hasattr}
 36000000  254.080    0.000  254.082    0.000 {built-in method builtins.compile}
   443912    6.899    0.000  253.899    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/validation.py:721(check_array)
148919874   45.247    0.000  252.693    0.000 {method 'min' of 'numpy.ndarray' objects}
