         3241470150 function calls (3100549618 primitive calls) in 2764.390 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   939955    1.460    0.000    7.148    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/series.py:6459(any)
  8463879    2.629    0.000    7.108    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/common.py:568(require_length_match)
10531315/10531309    4.987    0.000    7.090    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
  9793067    6.462    0.000    7.025    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/warnings.py:467(__enter__)
      420    2.005    0.005    6.956    0.017 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:150(__init__)
    94111    1.665    0.000    6.937    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_classes.py:191(_compute_missing_values_in_feature_mask)
4079/3239    0.006    0.000    6.883    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:31(draw_wrapper)
  4425324    4.025    0.000    6.739    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/inspect.py:2669(__init__)
     3134    0.013    0.000    6.572    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:4438(draw)
    84594    0.073    0.000    6.513    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:2787(<lambda>)
  3196162    2.604    0.000    6.451    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1198(is_bool_dtype)
    84594    0.418    0.000    6.441    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:126(contains)
  5206030    1.887    0.000    6.423    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/_array_api.py:473(get_namespace)
1528445/962897    2.032    0.000    6.414    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/_array_api.py:201(_isdtype_single)
 24452984    4.501    0.000    6.318    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/dtypes/inference.py:334(is_hashable)
  1883690    0.839    0.000    6.245    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:72(<listcomp>)
   377389    0.285    0.000    6.057    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/validation.py:457(<listcomp>)
  2881155    6.053    0.000    6.053    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    42176    0.210    0.000    5.963    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:915(get_window_extent)
     8866    0.017    0.000    5.954    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1590(_get_tick)
 16269065    5.136    0.000    5.942    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/construction.py:481(ensure_wrapped_if_datetimelike)
 10687068    5.439    0.000    5.849    0.000 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/alt_classification/decision_tree_alternate/decision_tree_alternate.py:81(<lambda>)
  8464908    4.235    0.000    5.754    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2674(get_block_type)
  1344779    1.517    0.000    5.595    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
